Bug ID,Summary,Module,Severity,Priority,Assignee,Reporter,Status,Type,Environment,Description,Steps to Reproduce,Expected Result,Actual Result,Date Reported,Date Updated,Fix Version
BUG-001,Locked user error message verified; session path needs review,Login / Authentication,Major,High,Aman Kumar,Aman Kumar,Open,Functional Bug - Observed,Chrome Latest | Windows 11,When locked_out_user attempts to log in the system correctly displays the expected error message. The core lock functionality works on initial login. Further verification of direct URL navigation while locked is recommended.,"1. Navigate to https://www.saucedemo.com/ | 2. Enter Username: locked_out_user | 3. Enter Password: secret_sauce | 4. Click Login button | 5. Observe the error message displayed on screen","User sees: Epic sadface: Sorry this user has been locked out. User cannot access any authenticated pages.","Correct lock error is shown on login. Lock works on initial attempt. Further verification of direct URL access while locked is recommended.",01-Jul-2026,07-Jul-2026,-
BUG-002,Checkout button remains active with an empty cart,Cart / Checkout,Medium,High,Aman Kumar,Aman Kumar,Open,UI / Functional Bug - Practice,Chrome Latest | Windows 11,After removing all items from the shopping cart the Checkout button remains clickable. There is no UI state change to indicate that checkout should not be possible with zero items. In a real application this would allow empty orders to be submitted.,"1. Navigate to https://www.saucedemo.com/ | 2. Log in with standard_user / secret_sauce | 3. Add any product to the cart | 4. Click the cart icon | 5. Click Remove to delete the product | 6. Observe the Checkout button state","The Checkout button should be disabled or hidden when the cart contains zero items. An empty cart should block progression to checkout.","Checkout button remains fully enabled and clickable with 0 items in cart. Clicking it proceeds to the checkout information form.",02-Jul-2026,07-Jul-2026,-
BUG-003,Browser back button after logout allows access to the inventory page,Navigation / Authentication / Session Management,Major,High,Aman Kumar,Aman Kumar,Open,Security / Session Bug - Observed,Chrome Latest | Windows 11,After a user logs out pressing the browser Back button navigates back to /inventory.html without re-authentication. This is a session management vulnerability. In a production application this would be a Critical security defect.,"1. Navigate to https://www.saucedemo.com/ | 2. Log in with standard_user / secret_sauce | 3. Navigate to the Inventory page | 4. Click the hamburger menu | 5. Click Logout | 6. Confirm redirection to Login page | 7. Click the browser Back button","After logout the browser Back button should not navigate to /inventory.html. Any access to authenticated pages should redirect back to login. Session should be invalidated on logout.","Browser navigates back to /inventory.html and the full inventory page is displayed without requiring re-authentication.",03-Jul-2026,07-Jul-2026,-
BUG-004,All product images display incorrectly for problem_user account,Product Listing Page,Major,Medium,Aman Kumar,Aman Kumar,Open,UI / Data Bug - Observed,Chrome Latest | Windows 11,When logged in as problem_user all 6 product cards on the inventory page display the same incorrect image (a dog/animal photo) instead of their respective product images. Product names and prices are correct but images are wrong and identical.,"1. Navigate to https://www.saucedemo.com/ | 2. Enter Username: problem_user | 3. Enter Password: secret_sauce | 4. Click Login | 5. On the Products page observe the image on each of the 6 product cards","Each product card should display its own correct and distinct product image matching the product name and description.",All 6 product cards display the same incorrect dog/animal photograph. No product card shows the correct product image.,03-Jul-2026,07-Jul-2026,-
BUG-005,Product sort selection does not persist after browser page refresh,Product Listing Page,Minor,Low,Aman Kumar,Aman Kumar,Open,UI / State Bug - Practice,Chrome Latest | Windows 11,When a user applies a custom sort order on the inventory page and then refreshes the browser the sort preference is lost and silently reverts to the default order (Name A to Z). The sort dropdown resets without any notification.,"1. Log in with standard_user / secret_sauce | 2. On the Products page click the sort dropdown | 3. Select Name (Z to A) | 4. Confirm products are sorted Z to A | 5. Press F5 or click the browser Refresh button | 6. Observe the sort dropdown and product order","The applied sort preference should persist after page refresh. If it resets the user should be notified.","Sort dropdown reverts to Name (A to Z) after page refresh. Products re-render in default order. Selected sort state is lost with no feedback.",04-Jul-2026,07-Jul-2026,-
BUG-006,Login error styling not cleared when user begins correcting credentials,Login,Minor,Low,Aman Kumar,Aman Kumar,Open,UI / UX Bug - Practice,Chrome Latest | Windows 11,After a failed login attempt red borders appear on both input fields and an error banner is shown. When the user clicks inside a field and begins typing corrections the error styling does not automatically clear. It only disappears when the user manually clicks the X dismiss button.,"1. Navigate to https://www.saucedemo.com/ | 2. Enter invalid username and password | 3. Click Login | 4. Observe red borders and error banner | 5. Click inside the Username field and begin typing | 6. Observe the red borders and error banner while typing","When the user begins typing in an input field after a failed login the error banner should auto-dismiss and red border styling should clear.","Red input borders and error banner remain visible while the user actively types corrections. Styling only clears when the X button is manually clicked.",04-Jul-2026,07-Jul-2026,-
BUG-007,No order confirmation email sent after successful checkout completion,Checkout / Order Confirmation,Minor,Medium,Aman Kumar,Aman Kumar,Open,Missing Feature - Real-World Awareness,N/A - Demo App Limitation,After completing a full checkout SauceDemo displays a confirmation screen but sends no order confirmation email. In a real e-commerce application an automated confirmation email is a fundamental post-purchase requirement. Documented for real-world awareness.,"1. Log in with standard_user / secret_sauce | 2. Add any product to the cart | 3. Proceed through checkout: Information > Overview > Finish | 4. Confirm the Thank you for your order! page | 5. Check any email inbox for a confirmation email","In a real production application an automated confirmation email should be sent containing: order ID itemized product list total amount and estimated delivery information.","No email is sent after order completion. Confirmation exists only on the in-app screen. No external record of the purchase exists once the user navigates away.",05-Jul-2026,07-Jul-2026,-
BUG-008,Inconsistent text casing on Add to Cart button across product pages,Product Listing / Product Detail,Minor,Low,Aman Kumar,Aman Kumar,Open,UI / Cosmetic Bug - Practice,Chrome Latest | Windows 11,The Add to Cart button displays with different text casing depending on the page. On the inventory page the button reads Add to cart (lowercase) while on the product detail page it reads Add to Cart (title case). This is a minor but visible UI inconsistency.,"1. Log in with standard_user / secret_sauce | 2. On the Products page observe the Add to Cart button text under any product card | 3. Note casing: Add to cart | 4. Click any product name to open its detail page | 5. Observe the button text | 6. Compare casing between the two pages","The Add to Cart button text should be consistent across all pages - either always Add to cart or always Add to Cart.","Inventory page button reads: Add to cart | Product detail page button reads: Add to Cart. Inconsistent casing across the two views.",05-Jul-2026,07-Jul-2026,-
BUG-009,Performance_glitch_user experiences significantly delayed page load on login,Login / Performance,Major,High,Aman Kumar,Aman Kumar,Open,Performance Bug - Observed,Chrome Latest | Windows 11,When logging in with performance_glitch_user there is a noticeable delay of approximately 3-5 seconds before the inventory page loads. All other user accounts load near-instantly. This indicates a performance issue tied to this user account's session handling.,"1. Navigate to https://www.saucedemo.com/ | 2. Enter Username: performance_glitch_user | 3. Enter Password: secret_sauce | 4. Click Login | 5. Observe and time the page load until the inventory page is fully visible","The inventory page should load within an acceptable time (under 2 seconds) for all user accounts regardless of user type.","Inventory page for performance_glitch_user takes approximately 3-5 seconds to load compared to near-instant load for standard_user.",06-Jul-2026,07-Jul-2026,-
BUG-010,Postal code field accepts letters and special characters with no input validation,Checkout - Step 1: Your Information,Medium,Medium,Aman Kumar,Aman Kumar,Open,Functional / Validation Bug - Practice,Chrome Latest | Windows 11,During the checkout information step the Postal Code field does not validate the format of the entered value. It accepts alphabetical characters special characters and any arbitrary string as long as the field is not empty. Users can submit with an invalid postal code.,"1. Log in with standard_user / secret_sauce | 2. Add any product to cart and proceed to Checkout | 3. Enter a valid First Name and Last Name | 4. In the Postal Code field enter a non-numeric value (e.g. ABCDE or !!!###) | 5. Click Continue | 6. Observe whether a validation error is shown","The Postal Code field should validate that the entered value is numeric and matches the expected format. An invalid format should display an error and block form submission.","The checkout form accepts any string in the Postal Code field with no validation error. The user proceeds past Step 1 with ABCDE or !!! as a postal code.",06-Jul-2026,07-Jul-2026,-
